학제,학교명,학교상태,시도,설립, 학과수_전체 , 모집인원_계 , 지원자_전체_계 , 지원자_전체_남 , 지원자_전체_여 , 입학자_전체_계 , 입학자_전체_남 , 입학자_전체_여 , 재학생_전체_계 , 재학생_전체_남 , 재학생_전체_여 , 외국인유학생 학위과정_계 , 외국인유학생 학위과정_남 , 외국인유학생 학위과정_여 
 대학교 , 서울여자대학교 , 기존 , 서울 , 사립 , 56 ," 1,719 "," 23,811 ", - ," 23,811 "," 1,711 ", - ," 1,711 "," 7,141 ", - ," 7,141 ", 39 , - , 39 
 대학교 , 서울장신대학교 , 기존 , 경기 , 사립 , 3 , 126 , 333 , 183 , 150 , 119 , 73 , 46 , 476 , 253 , 223 , 1 , 1 , - 
 대학교 , 성결대학교 , 기존 , 경기 , 사립 , 31 ," 1,327 "," 13,259 "," 6,217 "," 7,042 "," 1,303 ", 553 , 750 ," 5,418 "," 2,476 "," 2,942 ", 89 , 39 , 50 
 대학교 , 성공회대학교 , 기존 , 서울 , 사립 , 31 , 540 ," 2,726 "," 1,231 "," 1,495 ", 529 , 218 , 311 ," 2,112 ", 924 ," 1,188 ", 2 , - , 2 
 대학교 , 성균관대학교 , 기존 , 서울 , 사립 , 76 ," 4,102 "," 70,007 "," 39,868 "," 30,139 "," 4,087 "," 2,159 "," 1,928 "," 19,310 "," 10,205 "," 9,105 "," 2,677 ", 788 ," 1,889 "
 대학교 , 성신여자대학교 , 기존 , 서울 , 사립 , 68 ," 2,264 "," 23,670 ", - ," 23,670 "," 2,226 ", - ," 2,226 "," 8,868 ", - ," 8,868 ", 22 , - , 22 
 대학교 , 세종대학교 , 기존 , 서울 , 사립 , 99 ," 2,860 "," 38,713 "," 20,758 "," 17,955 "," 2,771 "," 1,535 "," 1,236 "," 11,946 "," 6,702 "," 5,244 ", 924 , 528 , 396 
 대학교 , 수원가톨릭대학교 , 기존 , 경기 , 사립 , 1 , 91 , 45 , 44 , 1 , 35 , 34 , 1 , 121 , 119 , 2 , 3 , 3 , - 
 대학교 , 수원대학교 , 기존 , 경기 , 사립 , 153 ," 2,363 "," 25,852 "," 13,365 "," 12,487 "," 2,327 "," 1,152 "," 1,175 "," 9,033 "," 4,530 "," 4,503 ", 270 , 141 , 129 
 대학교 , 숙명여자대학교 , 기존 , 서울 , 사립 , 53 ," 2,423 "," 26,882 ", - ," 26,882 "," 2,407 ", - ," 2,407 "," 10,123 ", - ," 10,123 ", 68 , - , 68 
 대학교 , 숭실대학교 , 기존 , 서울 , 사립 , 54 ," 3,197 "," 37,160 "," 20,893 "," 16,267 "," 3,172 "," 1,694 "," 1,478 "," 13,613 "," 7,288 "," 6,325 "," 1,349 ", 618 , 731 
