학제,학교명,학교상태,시도,설립, 학과수_전체 , 모집인원_계 , 지원자_전체_계 , 지원자_전체_남 , 지원자_전체_여 , 입학자_전체_계 , 입학자_전체_남 , 입학자_전체_여 , 재학생_전체_계 , 재학생_전체_남 , 재학생_전체_여 , 외국인유학생 학위과정_계 , 외국인유학생 학위과정_남 , 외국인유학생 학위과정_여 
 대학교 , 영산대학교 , 기존 , 부산 , 사립 ,66,966,4673,1933,2740,938,424,514,4031,1901,2130,385,203,182
 대학교 , 송원대학교 , 기존 , 광주 , 사립 ,35,794,4162,1813,2349,793,387,406,2980,1413,1567,109,63,46
 대학교 , 한국산업기술대학교 , 기존 , 경기 , 사립 ,35,1857,16686,12468,4218,1701,1258,443,6799,5029,1770,36,12,24
 대학교 , 신한대학교 , 기존 , 경기 , 사립 ,8,360,3171,1384,1787,359,208,151,1379,673,706,31,16,15
 대학교 , 신한대학교 , 기존 , 경기 , 사립 ,29,1222,11789,5048,6741,1218,510,708,4959,2042,2917,430,248,182
 전공대학 , 국제예술대학교 , 기존 , 서울 , 사립 ,3,409,7181,3683,3498,367,142,225,686,272,414,0,0,0
 전공대학 , 백석예술대학교 , 기존 , 서울 , 사립 ,28,4371,25870,11213,14657,3935,1493,2442,7485,2673,4812,7,0,7
 전공대학 , 정화예술대학교 , 기존 , 서울 , 사립 ,16,954,2957,443,2514,841,113,728,1727,235,1492,0,0,0
 전공대학 , 정화예술대학교 , 기존 , 서울 , 사립 ,17,1065,6595,3337,3258,819,363,456,1435,546,889,0,0,0
 전문대학 , 한국복지대학교 , 기존 , 경기 , 국립 ,27,414,1268,689,579,291,167,124,667,365,302,5,2,3
 전문대학 , 경남정보대학교 , 기존 , 부산 , 사립 ,91,5071,44155,21148,23007,3050,1614,1436,6665,3512,3153,6,2,4
 전문대학 , 경민대학교 , 기존 , 경기 , 사립 ,57,2322,15265,7230,8035,2064,1070,994,4432,2215,2217,7,4,3
 전문대학 , 경복대학교 , 기존 , 경기 , 사립 ,79,2924,13406,4164,9242,2573,741,1832,6455,1645,4810,28,5,23
 전문대학 , 계명문화대학교 , 기존 , 대구 , 사립 ,49,2931,11838,4862,6976,2303,973,1330,5008,1960,3048,108,76,32
 전문대학 , 계원예술대학교 , 기존 , 경기 , 사립 ,35,1482,6072,1714,4358,1318,401,917,3009,895,2114,3,2,1
 전문대학 , 광주보건대학교 , 기존 , 광주 , 사립 ,23,1575,8896,3016,5880,1488,474,1014,3733,1118,2615,4,2,2
 전문대학 , 기독간호대학교 , 기존 , 광주 , 사립 ,2,177,1063,202,861,172,29,143,595,96,499,0,0,0
 전문대학 , 김포대학교 , 기존 , 경기 , 사립 ,72,2012,13704,7531,6173,1548,936,612,3424,2030,1394,57,28,29
 전문대학 , 농협대학교 , 기존 , 경기 , 사립 ,5,179,1170,734,436,179,119,60,444,296,148,2,1,1
 전문대학 , 대구공업대학교 , 기존 , 대구 , 사립 ,23,1041,5471,3008,2463,847,356,491,1661,816,845,261,140,121
 전문대학 , 대구보건대학교 , 기존 , 대구 , 사립 ,38,2727,22711,7671,15040,2727,1035,1692,6959,2425,4534,82,57,25
 전문대학 , 수성대학교 , 기존 , 대구 , 사립 ,48,1574,9503,3226,6277,1430,530,900,3484,1223,2261,167,92,75
 전문대학 , 대구과학대학교 , 기존 , 대구 , 사립 ,37,1745,13061,4935,8126,1656,646,1010,4093,1396,2697,3,0,3
 전문대학 , 대동대학교 , 기존 , 부산 , 사립 ,12,659,5688,1455,4233,560,178,382,1518,378,1140,2,1,1
 전문대학 , 대림대학교 , 기존 , 경기 , 사립 ,119,4408,21023,11884,9139,3223,2053,1170,7325,4655,2670,27,22,5
 전문대학 , 동서울대학교 , 기존 , 경기 , 사립 ,94,2862,31019,15656,15363,2707,1584,1123,6045,3516,2529,4,2,2
 전문대학 , 동남보건대학교 , 기존 , 경기 , 사립 ,42,1866,20275,6344,13931,1793,550,1243,4794,1345,3449,4,0,4
 전문대학 , 동부산대학교 , 기존 , 부산 , 사립 ,28,936,0,0,0,0,0,0,526,227,299,0,0,0
 전문대학 , 동강대학교 , 기존 , 광주 , 사립 ,39,1619,5964,2690,3274,1338,665,673,3133,1383,1750,0,0,0
 전문대학 , 동아방송예술대학교 , 기존 , 경기 , 사립 ,34,1303,19614,8393,11221,1200,458,742,3104,1188,1916,11,2,9
 전문대학 , 동양미래대학교 , 기존 , 서울 , 사립 ,54,4404,20805,13352,7453,2833,1869,964,5854,3892,1962,119,79,40
 전문대학 , 동원대학교 , 기존 , 경기 , 사립 ,57,2219,16089,8214,7875,1755,987,768,3514,1953,1561,97,42,55
 전문대학 , 동의과학대학교 , 기존 , 부산 , 사립 ,56,3005,27433,12812,14621,2366,1361,1005,5307,3001,2306,18,8,10
 전문대학 , 동주대학교 , 기존 , 부산 , 사립 ,50,1596,14746,4675,10071,1255,429,826,3101,1040,2061,1,1,0
 전문대학 , 두원공과대학교 , 기존 , 경기 , 사립 ,62,2135,17332,9365,7967,1718,1201,517,4222,2799,1423,21,16,5
 전문대학 , 명지전문대학 , 기존 , 서울 , 사립 ,97,3424,38433,18726,19707,3424,1564,1860,7068,3193,3875,12,4,8
 전문대학 , 배화여자대학교 , 기존 , 서울 , 사립 ,29,1736,12429,26,12403,1476,24,1452,2874,24,2850,1,0,1
 전문대학 , 부산경상대학교 , 기존 , 부산 , 사립 ,77,1546,7858,3212,4646,1153,495,658,2625,1241,1384,0,0,0
 전문대학 , 부산여자대학교 , 기존 , 부산 , 사립 ,24,1237,8236,0,8236,970,0,970,2677,0,2677,8,0,8
 전문대학 , 부산과학기술대학교 , 기존 , 부산 , 사립 ,72,1968,15546,7194,8352,1355,655,700,3563,1859,1704,354,203,151
 전문대학 , 부천대학교 , 기존 , 경기 , 사립 ,92,4462,36481,14721,21760,3617,1711,1906,7705,3621,4084,78,33,45
 전문대학 , 삼육보건대학교 , 기존 , 서울 , 사립 ,15,627,7941,1547,6394,528,106,422,1331,235,1096,6,1,5
 전문대학 , 서영대학교 , 기존 , 광주 , 사립 ,92,2925,13287,5728,7559,2408,1138,1270,5221,2385,2836,3,0,3
 전문대학 , 서울여자간호대학교 , 기존 , 서울 , 사립 ,2,263,3779,0,3779,259,0,259,934,0,934,0,0,0
 전문대학 , 서울예술대학교 , 기존 , 경기 , 사립 ,17,1398,23410,10183,13227,1158,461,697,3101,1237,1864,16,6,10
 전문대학 , 서일대학교 , 기존 , 서울 , 사립 ,92,3228,32335,15428,16907,2629,1432,1197,6055,3325,2730,38,22,16
 전문대학 , 성심외국어대학 , 폐교 , 부산 , 사립 ,42,0,0,0,0,0,0,0,0,0,0,0,0,0
 전문대학 , 송원대학 , 폐교 , 광주 , 사립 ,,0,0,0,0,0,0,0,,,,0,0,0
 전문대학 , 수원여자대학교 , 기존 , 경기 , 사립 ,44,2024,17233,0,17233,1829,0,1829,4367,0,4367,0,0,0
 전문대학 , 수원과학대학교 , 기존 , 경기 , 사립 ,50,3128,27377,9522,17855,2595,1282,1313,5981,2967,3014,4,1,3
 전문대학 , 숭의여자대학교 , 기존 , 서울 , 사립 ,52,1891,12719,0,12719,1727,0,1727,3396,0,3396,0,0,0
 전문대학 , 신구대학교 , 기존 , 경기 , 사립 ,75,2989,26695,10293,16402,2973,1132,1841,6749,2417,4332,2,0,2
 전문대학 , 신흥대학교 , 폐교 , 경기 , 사립 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 전문대학 , 신안산대학교 , 기존 , 경기 , 사립 ,34,2302,16897,9904,6993,2008,1276,732,4071,2544,1527,6,4,2
 전문대학 , 안산대학교 , 기존 , 경기 , 사립 ,41,1958,16851,6816,10035,1862,730,1132,4550,1665,2885,7,4,3
 전문대학 , 연성대학교 , 기존 , 경기 , 사립 ,71,2880,36331,12414,23917,2746,1051,1695,6030,2312,3718,95,44,51
 전문대학 , 여주대학교 , 기존 , 경기 , 사립 ,90,2762,23564,11432,12132,2247,1405,842,5357,3157,2200,7,3,4
 전문대학 , 영남이공대학교 , 기존 , 대구 , 사립 ,46,3328,17132,9041,8091,2646,1552,1094,5911,3305,2606,182,89,93
 전문대학 , 영진전문대학교 , 기존 , 대구 , 사립 ,57,3852,31397,18896,12501,3749,2541,1208,7988,5399,2589,426,225,201
 전문대학 , 오산대학교 , 기존 , 경기 , 사립 ,62,2891,18698,10571,8127,2539,1532,1007,5158,3090,2068,2,1,1
 전문대학 , 용인송담대학교 , 기존 , 경기 , 사립 ,56,2090,18338,8146,10192,1775,875,900,3902,1945,1957,46,25,21
 전문대학 , 유한대학교 , 기존 , 경기 , 사립 ,65,2293,24476,13849,10627,2293,1446,847,4856,3016,1840,2,1,1
 전문대학 , 인덕대학교 , 기존 , 서울 , 사립 ,72,3191,26176,12806,13370,2834,1395,1439,6382,3168,3214,26,9,17
 전문대학 , 장안대학교 , 기존 , 경기 , 사립 ,58,2857,24254,7955,16299,2597,1119,1478,5535,2286,3249,3,1,2
 전문대학 , 조선이공대학교 , 기존 , 광주 , 사립 ,70,2174,9370,7442,1928,1698,1354,344,3355,2676,679,43,31,12
 전문대학 , 조선간호대학교 , 기존 , 광주 , 사립 ,1,193,1506,312,1194,193,40,153,771,122,649,0,0,0
 전문대학 , 청강문화산업대학교 , 기존 , 경기 , 사립 ,31,1474,10647,3827,6820,1474,497,977,3842,1296,2546,4,2,2
 전문대학 , 국제대학교 , 기존 , 경기 , 사립 ,57,2399,20606,10745,9861,1781,1023,758,3857,2241,1616,142,86,56
 전문대학 , 한양여자대학교 , 기존 , 서울 , 사립 ,50,3199,31905,5,31900,3052,5,3047,6680,5,6675,47,0,47
 전문대학 , 경기과학기술대학교 , 기존 , 경기 , 사립 ,72,3573,14525,11256,3269,2351,1882,469,4712,3768,944,54,41,13
 전문대학 , 부산예술대학교 , 기존 , 부산 , 사립 ,11,542,1185,425,760,345,148,197,682,313,369,0,0,0
 전문대학 , 한국관광대학교 , 기존 , 경기 , 사립 ,18,1155,11259,3625,7634,1039,422,617,1973,786,1187,3,2,1
 전문대학 , 서정대학교 , 기존 , 경기 , 사립 ,50,3659,11414,5154,6260,2679,1248,1431,5412,2450,2962,671,486,185
 전문대학 , 웅지세무대학교 , 기존 , 경기 , 사립 ,8,831,965,522,443,272,161,111,1103,655,448,0,0,0
 대학교 , 광주과학기술원 , 기존 , 광주 , 특별법법인 ,8,198,2934,2207,727,196,154,42,739,553,186,1,1,0
 대학교 , 대구경북과학기술원 , 기존 , 대구 , 특별법법인 ,1,220,3466,2537,929,231,167,64,769,520,249,0,0,0
